"ESO category","Commons Category"
"Unspecified : Star : Evolutionary Stage : Black Hole",
"Unspecified : Star : Type : Variable","Variable stars"
"Unspecified : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Unspecified : Star : Type : Variable : Irregular","Variable stars"
"Unspecified : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Unspecified : Star : Type : Variable : Flare Star","Flare stars"
"Unspecified : Star : Type : Variable : Nova","Novae"
"Unspecified : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
"Unspecified : Star : Type : Carbon",
"Unspecified : Star : Type : Brown Dwarf",
"Unspecified : Star : Type : Wolf-Rayet",
"Unspecified : Star : Type : Blue Straggler","Blue stragglers"
"Unspecified : Star : Type : Exotic","Exotic stars"
"Unspecified : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Unspecified : Star : Spectral Type : O",
"Unspecified : Star : Spectral Type : B",
"Unspecified : Star : Spectral Type : A",
"Unspecified : Star : Spectral Type : F",
"Unspecified : Star : Spectral Type : G",
"Unspecified : Star : Spectral Type : K",
"Unspecified : Star : Spectral Type : M",
"Unspecified : Star : Spectral Type : L",
"Unspecified : Star : Spectral Type : T",
"Unspecified : Star : Population : I","Stellar populations"
"Unspecified : Star : Population : II","Stellar populations"
"Unspecified : Star : Population : III","Stellar populations"
"Unspecified : Star : Feature : Photosphere",
"Unspecified : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Unspecified : Star : Feature : Photosphere : Sunspot",
"Unspecified : Star : Feature : Chromosphere","Chromosphere"
"Unspecified : Star : Feature : Chromosphere : Flare","Solar flares"
"Unspecified : Star : Feature : Chromosphere : Facula","Solar faculae"
"Unspecified : Star : Feature : Corona",
"Unspecified : Star : Feature : Corona : Prominence",
"Unspecified : Star : Grouping : Binary",
"Unspecified : Star : Grouping : Triple","Triple star systems"
"Unspecified : Star : Grouping : Multiple",
"Unspecified : Star : Grouping : Cluster",
"Unspecified : Star : Grouping : Cluster : Open",
"Unspecified : Star : Grouping : Cluster : Globular",
"Unspecified : Star : Circumstellar Material","Circumstellar enveloppe"
"Unspecified : Star : Circumstellar Material : Planetary System","Planetary systems"
"Unspecified : Star : Circumstellar Material : Disk","Circumstellar discs"
"Unspecified : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Unspecified : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Unspecified : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Unspecified : Star : Circumstellar Material : Outflow",
"Unspecified : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Unspecified : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Unspecified : Nebula",
"Unspecified : Nebula : Type : Interstellar Medium",
"Unspecified : Nebula : Type : Star Formation",
"Unspecified : Nebula : Type : Planetary",
"Unspecified : Nebula : Type : Supernova Remnant",
"Unspecified : Nebula : Type : Jet",
"Unspecified : Nebula : Appearance : Emission",
"Unspecified : Nebula : Appearance : Emission : H II Region",
"Unspecified : Nebula : Appearance : Reflection",
"Unspecified : Nebula : Appearance : Reflection : Light Echo",
"Unspecified : Nebula : Appearance : Dark",
"Unspecified : Nebula : Appearance : Dark : Molecular Cloud",
"Unspecified : Nebula : Appearance : Dark : Bok Globule",
"Unspecified : Nebula : Appearance : Dark : Proplyd",
"Unspecified : Galaxy",
"Unspecified : Galaxy : Type : Spiral",
"Unspecified : Galaxy : Type : Barred",
"Unspecified : Galaxy : Type : Lenticular",
"Unspecified : Galaxy : Type : Elliptical",
"Unspecified : Galaxy : Type : Ring",
"Unspecified : Galaxy : Type : Irregular",
"Unspecified : Galaxy : Type : Interacting",
"Unspecified : Galaxy : Type : Gravitationally Lensed",
"Unspecified : Galaxy : Size : Giant",
"Unspecified : Galaxy : Size : Dwarf",
"Unspecified : Galaxy : Activity : Normal",
"Unspecified : Galaxy : Activity : AGN",
"Unspecified : Galaxy : Activity : AGN : Quasar",
"Unspecified : Galaxy : Activity : AGN : Seyfert",
"Unspecified : Galaxy : Activity : AGN : Blazar",
"Unspecified : Galaxy : Activity : AGN : Liner",
"Unspecified : Galaxy : Activity : Starburst",
"Unspecified : Galaxy : Activity : Ultraluminous",
"Unspecified : Galaxy : Component : Bulge",
"Unspecified : Galaxy : Component : Bar",
"Unspecified : Galaxy : Component : Disk",
"Unspecified : Galaxy : Component : Halo",
"Unspecified : Galaxy : Component : Ring",
"Unspecified : Galaxy : Component : Central Black Hole",
"Unspecified : Galaxy : Component : Spiral Arm",
"Unspecified : Galaxy : Component : Dust Lane",
"Unspecified : Galaxy : Component : Center/Core",
"Unspecified : Galaxy : Grouping : Pair",
"Unspecified : Galaxy : Grouping : Multiple",
"Unspecified : Galaxy : Grouping : Cluster",
"Unspecified : Galaxy : Grouping : Supercluster",
"Unspecified : Cosmology",
"Unspecified : Cosmology : Morphology : Deep Field",
"Unspecified : Cosmology : Morphology : Large-Scale Structure",
"Unspecified : Cosmology : Morphology : Cosmic Background",
"Unspecified : Cosmology : Phenomenon : Lensing",
"Unspecified : Cosmology : Phenomenon : Gamma Ray Burst",
"Unspecified : Cosmology : Phenomenon : Dark Matter",
"Unspecified : Sky Phenomenon",
"Unspecified : Sky Phenomenon : Night Sky",
"Unspecified : Sky Phenomenon : Night Sky : Constellation",
"Unspecified : Sky Phenomenon : Night Sky : Asterism",
"Unspecified : Sky Phenomenon : Night Sky : Milky Way",
"Unspecified : Sky Phenomenon : Night Sky : Trail",
"Unspecified : Sky Phenomenon : Night Sky : Trail : Meteor",
"Unspecified : Sky Phenomenon : Night Sky : Trail : Star",
"Unspecified : Sky Phenomenon : Night Sky : Trail : Satellite",
"Unspecified : Sky Phenomenon : Night Sky : Zodiacal Light",
"Unspecified : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein",
"Unspecified : Sky Phenomenon : Night Sky : Night glow",
"Unspecified : Sky Phenomenon : Eclipse",
"Unspecified : Sky Phenomenon : Eclipse : Solar",
"Unspecified : Sky Phenomenon : Eclipse : Solar : Total",
"Unspecified : Sky Phenomenon : Eclipse : Solar : Partial",
"Unspecified : Sky Phenomenon : Eclipse : Solar : Annular",
"Unspecified : Sky Phenomenon : Eclipse : Lunar",
"Unspecified : Sky Phenomenon : Eclipse : Lunar : Total",
"Unspecified : Sky Phenomenon : Eclipse : Lunar : Partial",
"Unspecified : Sky Phenomenon : Eclipse : Lunar : Penumbral",
"Unspecified : Sky Phenomenon : Eclipse : Occultation",
"Unspecified : Sky Phenomenon : Eclipse : Transit",
"Unspecified : Sky Phenomenon : Light Phenomenon","Atmospheric optical phenomena"
"Unspecified : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset","Sunsets and sunrises"
"Unspecified : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash","Green flash phenomena"
"Unspecified : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion",
"Unspecified : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar","Sun pillars"
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud","Clouds"
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent","Iridescent clouds"
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent","Noctilucent clouds"
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous",
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud : Corona",
"Unspecified : Sky Phenomenon : Light Phenomenon : Cloud : Glory",
"Unspecified : Sky Phenomenon : Light Phenomenon : Rainbow","Rainbows"
"Unspecified : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow","Moonbows"
"Unspecified : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow","Fogbow"
"Unspecified : Sky Phenomenon : Light Phenomenon : Halo","Halo phenomena"
"Unspecified : Sky Phenomenon : Light Phenomenon : Halo : Circle",
"Unspecified : Sky Phenomenon : Light Phenomenon : Halo : Parhelia","Parhelia"
"Unspecified : Sky Phenomenon : Light Phenomenon : Halo : Arc",
"Unspecified : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Unspecified : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
"Unspecified : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray","Anticrepuscular rays"
"Unspecified : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow",
"Unspecified : Sky Phenomenon : Light Phenomenon : Lightning","Lightning"
"Unspecified : Sky Phenomenon : Light Phenomenon : Aurora","Polar aurora"
"Unspecified : Technology",
"Unspecified : Technology : Observatory","Observatories"
"Unspecified : Technology : Observatory : Facility","Astronomical observatories"
"Unspecified : Technology : Observatory : Telescope","Telescopes"
"Unspecified : Technology : Observatory : Instrument","Astronomical instruments"
"Unspecified : Technology : Observatory : Detector",
"Unspecified : Technology : Spacecraft","Spacecraft"
"Unspecified : Technology : Spacecraft : Orbiter","Orbiters (spacecraft)"
"Unspecified : Technology : Spacecraft : Probe","Space probes"
"Unspecified : Technology : Spacecraft : Lander","Landers (spacecraft)"
"Unspecified : Technology : Spacecraft : Manned","Manned spacecraft"
"Unspecified : Technology : Spacecraft : Launch Vehicle","Space launch vehicles"
"Unspecified : People : Scientist","Scientists"
"Unspecified : People : Astronaut","Astronauts"
